ID,puntuacion,Truco,kRe_V,kRe_W,Ret-,segm1,segm3,segm5,kTr_V,kTr_W,RetΔ,segm2,segm4,segm6,WMAX
0,35.0974606,False,0.7,0.055,1.45,0.126,0.767,9.368,0.95,0.015,0.9,6.415,9.59,8.832,1.9
1,33.8718387,False,0.7,0.055,1.45,0.12,0.784,8.087,0.95,0.015,0.9,6.436,9.653,8.793,1.95
2,19.4390059,,,,,,,,,,,,,,
3,33.9184221,False,0.7,0.055,1.45,0.127,0.749,8.132,0.95,0.015,0.9,6.463,9.643,8.803,2.0
4,43.0528626,False,0.7,0.055,1.45,0.12,0.843,17.618,0.95,0.015,1.0,6.331,9.47,8.672,2.0
5,33.7328106,False,0.7,0.055,1.45,0.121,0.927,8.589,0.95,0.015,1.1,6.242,9.352,8.501,2.0
6,29.2105593,False,0.7,0.055,1.45,0.121,0.683,3.935,0.95,0.02,0.9,6.358,9.366,8.747,2.0
7,30.7666536,False,0.7,0.055,1.45,0.125,1.123,5.329,0.95,0.02,1.0,6.277,9.281,8.633,2.0
8,37.2584669,False,0.7,0.055,1.45,0.124,1.117,12.259,0.95,0.02,1.1,6.134,9.117,8.508,2.0
9,28.5151191,False,0.7,0.055,1.45,0.119,1.386,2.972,0.95,0.025,0.9,6.224,9.108,8.706,2.0
10,28.854528,False,0.7,0.055,1.45,0.124,0.998,4.092,0.95,0.025,1.0,6.116,8.949,8.575,2.0
11,30.4119765,False,0.7,0.055,1.45,0.119,0.95,6.164,0.95,0.025,1.1,5.947,8.842,8.39,2.0
12,35.116225,False,0.7,0.055,1.45,0.118,0.762,9.114,1.0,0.015,0.9,6.458,9.748,8.916,2.0
13,43.9514109,False,0.7,0.055,1.45,0.115,0.811,18.284,1.0,0.015,1.0,6.403,9.591,8.747,2.0
14,32.2952911,False,0.7,0.055,1.45,0.123,1.001,6.872,1.0,0.015,1.1,6.278,9.435,8.587,2.0
15,29.923943,False,0.7,0.055,1.45,0.115,0.631,4.431,1.0,0.02,0.9,6.386,9.473,8.887,2.0
16,33.5038759,False,0.7,0.055,1.45,0.122,1.121,7.917,1.0,0.02,1.0,6.26,9.376,8.708,2.0
17,37.5408471,False,0.7,0.055,1.45,0.124,1.092,12.312,1.0,0.02,1.1,6.222,9.243,8.547,2.0
18,28.1031247,False,0.7,0.055,1.45,0.126,1.009,2.708,1.0,0.025,0.9,6.213,9.27,8.778,2.0
19,30.2165663,False,0.7,0.055,1.45,0.124,0.975,5.313,1.0,0.025,1.0,6.096,9.073,8.635,2.0
20,31.3488395,False,0.7,0.055,1.45,0.123,0.94,6.847,1.0,0.025,1.1,6.003,8.958,8.478,2.0
21,37.1078876,False,0.7,0.055,1.45,0.118,0.78,10.951,1.05,0.015,0.9,6.537,9.795,8.928,2.0
22,46.0928021,False,0.7,0.055,1.45,0.128,0.852,20.261,1.05,0.015,1.0,6.409,9.653,8.789,2.0
23,33.266212,False,0.7,0.055,1.45,0.116,0.945,7.793,1.05,0.015,1.1,6.299,9.484,8.629,2.0
24,30.3082055,False,0.7,0.055,1.45,0.118,0.658,4.488,1.05,0.02,0.9,6.476,9.635,8.933,2.0
25,32.6302217,False,0.7,0.055,1.45,0.125,1.131,6.888,1.05,0.02,1.0,6.317,9.393,8.776,2.0
26,45.9132964,False,0.7,0.055,1.45,0.123,1.154,20.512,1.05,0.02,1.1,6.211,9.233,8.68,2.0
27,29.0725081,False,0.7,0.055,1.45,0.124,1.457,3.181,1.05,0.025,0.9,6.258,9.193,8.859,2.0
28,29.891477,False,0.7,0.055,1.45,0.136,0.952,4.769,1.05,0.025,1.0,6.172,9.116,8.747,2.0
29,32.6013495,False,0.700,0.055,1.45,0.120,0.904,7.878,1.050,0.025,1.10,6.106,9.015,8.578,2.00
